Plant Name,Date,Sn,Port,Energy (kWh),ID,SN,Microinversor
Wilkne,2025-03-27,106272403152.0,1,1.951,,,Microinversor_1
Wilkne,2025-03-27,106272403152.0,2,1.953,,,Microinversor_1
Wilkne,2025-03-27,106272403152.0,3,1.945,,,Microinversor_1
Wilkne,2025-03-27,106272403152.0,4,1.965,,,Microinversor_1
Wilkne,2025-03-27,106272403916.0,1,1.958,,,Microinversor_1
Wilkne,2025-03-27,106272403916.0,2,1.952,,,Microinversor_1
Wilkne,2025-03-27,106272403916.0,3,1.934,,,Microinversor_1
Wilkne,2025-03-27,106272403916.0,4,1.982,,,Microinversor_1
Wilkne,2025-03-27,116191966583.0,1,1.78,,,Microinversor_1
Wilkne,2025-03-27,116191966583.0,2,1.846,,,Microinversor_1
Wilkne,2025-03-27,116191966583.0,3,1.889,,,Microinversor_1
Wilkne,2025-03-27,116191966583.0,4,1.915,,,Microinversor_1
Wilkne,2024-11-27,,1,2.131,1.0,106272403152.0,Microinversor_2
Wilkne,2024-11-27,,2,2.109,2.0,106272403152.0,Microinversor_2
Wilkne,2024-11-27,,3,2.105,3.0,106272403152.0,Microinversor_2
Wilkne,2024-11-27,,4,2.152,4.0,106272403152.0,Microinversor_2
Wilkne,2024-11-27,,1,2.098,5.0,106272403916.0,Microinversor_3
Wilkne,2024-11-27,,2,2.12,6.0,106272403916.0,Microinversor_3
Wilkne,2024-11-27,,3,2.086,7.0,106272403916.0,Microinversor_3
Wilkne,2024-11-27,,4,2.147,8.0,106272403916.0,Microinversor_3
Wilkne,2024-11-27,,1,0.012,9.0,106272404964.0,Microinversor_4
Wilkne,2024-11-27,,2,1.985,10.0,106272404964.0,Microinversor_4
Wilkne,2024-11-27,,3,1.933,11.0,106272404964.0,Microinversor_4
Wilkne,2024-11-27,,4,1.939,12.0,106272404964.0,Microinversor_4
Wilkne,2023-05-22,,1,2.123,13.0,106272403152.0,Microinversor_2
Wilkne,2023-05-22,,2,2.127,14.0,106272403152.0,Microinversor_2
Wilkne,2023-05-22,,3,2.119,15.0,106272403152.0,Microinversor_2
Wilkne,2023-05-22,,4,2.136,16.0,106272403152.0,Microinversor_2
Wilkne,2023-05-22,,1,2.144,17.0,106272403916.0,Microinversor_3
Wilkne,2023-05-22,,2,2.139,18.0,106272403916.0,Microinversor_3
Wilkne,2023-05-22,,3,2.123,19.0,106272403916.0,Microinversor_3
Wilkne,2023-05-22,,4,2.161,20.0,106272403916.0,Microinversor_3
Wilkne,2023-05-22,,1,0.013,21.0,116191966583.0,Microinversor_5
Wilkne,2023-05-22,,2,2.391,22.0,116191966583.0,Microinversor_5
Wilkne,2023-05-22,,3,2.371,23.0,116191966583.0,Microinversor_5
Wilkne,2023-05-22,,4,2.412,24.0,116191966583.0,Microinversor_5
Wilkne,2022-04-15,,1,2.208,25.0,106272403152.0,Microinversor_2
Wilkne,2022-04-15,,2,2.202,26.0,106272403152.0,Microinversor_2
Wilkne,2022-04-15,,3,2.203,27.0,106272403152.0,Microinversor_2
Wilkne,2022-04-15,,4,2.212,28.0,106272403152.0,Microinversor_2
Wilkne,2022-04-15,,1,2.208,29.0,106272403916.0,Microinversor_3
Wilkne,2022-04-15,,2,2.204,30.0,106272403916.0,Microinversor_3
Wilkne,2022-04-15,,3,2.18,31.0,106272403916.0,Microinversor_3
Wilkne,2022-04-15,,4,2.231,32.0,106272403916.0,Microinversor_3
Wilkne,2022-04-15,,1,0.0,33.0,116191966583.0,Microinversor_5
Wilkne,2022-04-15,,2,0.0,34.0,116191966583.0,Microinversor_5
