Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-12-04,106272403152,1,1.12
Wilkne,2024-12-04,106272403152,2,1.11
Wilkne,2024-12-04,106272403152,3,1.103
Wilkne,2024-12-04,106272403152,4,1.127
Wilkne,2024-12-04,106272403916,1,1.101
Wilkne,2024-12-04,106272403916,2,1.107
Wilkne,2024-12-04,106272403916,3,1.092
Wilkne,2024-12-04,106272403916,4,1.127
Wilkne,2024-12-04,106272404964,1,0.011
Wilkne,2024-12-04,106272404964,2,1.249
Wilkne,2024-12-04,106272404964,3,1.232
Wilkne,2024-12-04,106272404964,4,1.235
