Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-11-29,106272403152,1,1.892
Wilkne,2024-11-29,106272403152,2,1.872
Wilkne,2024-11-29,106272403152,3,1.865
Wilkne,2024-11-29,106272403152,4,1.902
Wilkne,2024-11-29,106272403916,1,1.85
Wilkne,2024-11-29,106272403916,2,1.868
Wilkne,2024-11-29,106272403916,3,1.842
Wilkne,2024-11-29,106272403916,4,1.898
Wilkne,2024-11-29,106272404964,1,0.012
Wilkne,2024-11-29,106272404964,2,1.733
Wilkne,2024-11-29,106272404964,3,1.692
Wilkne,2024-11-29,106272404964,4,1.69
