Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2025-02-10,106272403152,1,2.243,2025,Micro_01
Wilkne,2025-02-10,106272403152,2,2.236,2025,Micro_01
Wilkne,2025-02-10,106272403152,3,2.228,2025,Micro_01
Wilkne,2025-02-10,106272403152,4,2.247,2025,Micro_01
Wilkne,2025-02-10,106272403916,1,2.251,2025,Micro_02
Wilkne,2025-02-10,106272403916,2,2.24,2025,Micro_02
Wilkne,2025-02-10,106272403916,3,2.222,2025,Micro_02
Wilkne,2025-02-10,106272403916,4,2.274,2025,Micro_02
Wilkne,2025-02-10,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-02-10,106272404964,2,2.046,2025,Micro_03
Wilkne,2025-02-10,106272404964,3,2.027,2025,Micro_03
Wilkne,2025-02-10,106272404964,4,2.059,2025,Micro_03
Wilkne,2025-02-04,106272403152,1,2.202,2025,Micro_01
Wilkne,2025-02-04,106272403152,2,2.19,2025,Micro_01
Wilkne,2025-02-04,106272403152,3,2.18,2025,Micro_01
Wilkne,2025-02-04,106272403152,4,2.212,2025,Micro_01
Wilkne,2025-02-04,106272403916,1,2.209,2025,Micro_02
Wilkne,2025-02-04,106272403916,2,2.199,2025,Micro_02
Wilkne,2025-02-04,106272403916,3,2.174,2025,Micro_02
Wilkne,2025-02-04,106272403916,4,2.236,2025,Micro_02
Wilkne,2025-02-04,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-02-04,106272404964,2,2.133,2025,Micro_03
Wilkne,2025-02-04,106272404964,3,2.096,2025,Micro_03
Wilkne,2025-02-04,106272404964,4,2.139,2025,Micro_03
Wilkne,2025-02-05,106272403152,1,2.045,2025,Micro_01
Wilkne,2025-02-05,106272403152,2,2.047,2025,Micro_01
Wilkne,2025-02-05,106272403152,3,2.032,2025,Micro_01
Wilkne,2025-02-05,106272403152,4,2.065,2025,Micro_01
Wilkne,2025-02-05,106272403916,1,2.055,2025,Micro_02
Wilkne,2025-02-05,106272403916,2,2.053,2025,Micro_02
Wilkne,2025-02-05,106272403916,3,2.029,2025,Micro_02
Wilkne,2025-02-05,106272403916,4,2.077,2025,Micro_02
Wilkne,2025-02-05,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-02-05,106272404964,2,1.885,2025,Micro_03
Wilkne,2025-02-05,106272404964,3,1.831,2025,Micro_03
Wilkne,2025-02-05,106272404964,4,1.866,2025,Micro_03
Wilkne,2025-02-11,106272403152,1,2.555,2025,Micro_01
Wilkne,2025-02-11,106272403152,2,2.542,2025,Micro_01
Wilkne,2025-02-11,106272403152,3,2.533,2025,Micro_01
Wilkne,2025-02-11,106272403152,4,2.55,2025,Micro_01
Wilkne,2025-02-11,106272403916,1,2.558,2025,Micro_02
Wilkne,2025-02-11,106272403916,2,2.54,2025,Micro_02
Wilkne,2025-02-11,106272403916,3,2.525,2025,Micro_02
Wilkne,2025-02-11,106272403916,4,2.592,2025,Micro_02
Wilkne,2025-02-11,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-02-11,106272404964,2,2.392,2025,Micro_03
Wilkne,2025-02-11,106272404964,3,2.355,2025,Micro_03
Wilkne,2025-02-11,106272404964,4,2.407,2025,Micro_03
Wilkne,2025-02-07,106272403152,1,2.438,2025,Micro_01
Wilkne,2025-02-07,106272403152,2,2.419,2025,Micro_01
Wilkne,2025-02-07,106272403152,3,2.408,2025,Micro_01
Wilkne,2025-02-07,106272403152,4,2.433,2025,Micro_01
Wilkne,2025-02-07,106272403916,1,2.439,2025,Micro_02
Wilkne,2025-02-07,106272403916,2,2.424,2025,Micro_02
Wilkne,2025-02-07,106272403916,3,2.4,2025,Micro_02
Wilkne,2025-02-07,106272403916,4,2.473,2025,Micro_02
Wilkne,2025-02-07,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-02-07,106272404964,2,2.321,2025,Micro_03
Wilkne,2025-02-07,106272404964,3,2.277,2025,Micro_03
Wilkne,2025-02-07,106272404964,4,2.332,2025,Micro_03
Wilkne,2025-02-13,106272403152,1,2.295,2025,Micro_01
Wilkne,2025-02-13,106272403152,2,2.289,2025,Micro_01
Wilkne,2025-02-13,106272403152,3,2.288,2025,Micro_01
Wilkne,2025-02-13,106272403152,4,2.314,2025,Micro_01
Wilkne,2025-02-13,106272403916,1,2.296,2025,Micro_02
Wilkne,2025-02-13,106272403916,2,2.288,2025,Micro_02
Wilkne,2025-02-13,106272403916,3,2.255,2025,Micro_02
Wilkne,2025-02-13,106272403916,4,2.321,2025,Micro_02
Wilkne,2025-02-13,106272404964,1,0.014,2025,Micro_03
Wilkne,2025-02-13,106272404964,2,2.24,2025,Micro_03
Wilkne,2025-02-13,106272404964,3,2.205,2025,Micro_03
Wilkne,2025-02-13,106272404964,4,2.253,2025,Micro_03
Wilkne,2025-02-12,106272403152,1,2.427,2025,Micro_01
Wilkne,2025-02-12,106272403152,2,2.433,2025,Micro_01
Wilkne,2025-02-12,106272403152,3,2.425,2025,Micro_01
Wilkne,2025-02-12,106272403152,4,2.461,2025,Micro_01
Wilkne,2025-02-12,106272403916,1,2.451,2025,Micro_02
Wilkne,2025-02-12,106272403916,2,2.45,2025,Micro_02
Wilkne,2025-02-12,106272403916,3,2.416,2025,Micro_02
Wilkne,2025-02-12,106272403916,4,2.471,2025,Micro_02
Wilkne,2025-02-12,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-12,106272404964,2,2.326,2025,Micro_03
Wilkne,2025-02-12,106272404964,3,2.269,2025,Micro_03
Wilkne,2025-02-12,106272404964,4,2.318,2025,Micro_03
Wilkne,2025-02-06,106272403152,1,2.104,2025,Micro_01
Wilkne,2025-02-06,106272403152,2,2.087,2025,Micro_01
Wilkne,2025-02-06,106272403152,3,2.08,2025,Micro_01
Wilkne,2025-02-06,106272403152,4,2.105,2025,Micro_01
Wilkne,2025-02-06,106272403916,1,2.105,2025,Micro_02
Wilkne,2025-02-06,106272403916,2,2.094,2025,Micro_02
Wilkne,2025-02-06,106272403916,3,2.069,2025,Micro_02
Wilkne,2025-02-06,106272403916,4,2.139,2025,Micro_02
Wilkne,2025-02-06,106272404964,1,0.011,2025,Micro_03
Wilkne,2025-02-06,106272404964,2,2.015,2025,Micro_03
Wilkne,2025-02-06,106272404964,3,1.969,2025,Micro_03
Wilkne,2025-02-06,106272404964,4,2.016,2025,Micro_03
Wilkne,2025-02-02,106272403152,1,2.42,2025,Micro_01
Wilkne,2025-02-02,106272403152,2,2.429,2025,Micro_01
Wilkne,2025-02-02,106272403152,3,2.428,2025,Micro_01
Wilkne,2025-02-02,106272403152,4,2.463,2025,Micro_01
Wilkne,2025-02-02,106272403916,1,2.444,2025,Micro_02
Wilkne,2025-02-02,106272403916,2,2.449,2025,Micro_02
Wilkne,2025-02-02,106272403916,3,2.408,2025,Micro_02
Wilkne,2025-02-02,106272403916,4,2.465,2025,Micro_02
Wilkne,2025-02-02,106272404964,1,0.013,2025,Micro_03
