Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-01-03,106272403152,1,2.126
Wilkne,2025-01-03,106272403152,2,2.123
Wilkne,2025-01-03,106272403152,3,2.119
Wilkne,2025-01-03,106272403152,4,2.139
Wilkne,2025-01-03,106272403916,1,2.115
Wilkne,2025-01-03,106272403916,2,2.109
Wilkne,2025-01-03,106272403916,3,2.081
Wilkne,2025-01-03,106272403916,4,2.144
Wilkne,2025-01-03,106272404964,1,0.013
Wilkne,2025-01-03,106272404964,2,1.897
Wilkne,2025-01-03,106272404964,3,1.873
Wilkne,2025-01-03,106272404964,4,1.899
